sample_id,detected_class,baby_detected,empty_seat_detected,baby_count,confidence,bbox_width,bbox_height,bbox_area
9164,empty_seat,0,1,0,0.722,373.88,313.12,117067.24
9165,empty_seat,0,1,0,0.7179,367.02,305.79,112230.57
9166,empty_seat,0,1,0,0.7662,356.4,315,112266.17
9167,empty_seat,0,1,0,0.7243,377.7,315.28,119082.35
9168,empty_seat,0,1,0,0.7504,366.55,311.34,114123.84
9169,empty_seat,0,1,0,0.6702,385.86,312.72,120664.11
9170,empty_seat,0,1,0,0.7363,358.3,305.48,109454.58
9171,empty_seat,0,1,0,0.7291,376.33,313.24,117881.15
9172,empty_seat,0,1,0,0.6761,366.65,312.04,114407.25
9173,empty_seat,0,1,0,0.7057,363.51,310.48,112862.47
9174,empty_seat,0,1,0,0.682,384.39,313.37,120454.35
9175,empty_seat,0,1,0,0.7647,380.09,314.93,119703.89
9176,empty_seat,0,1,0,0.7715,359.71,314.64,113180.48
9177,empty_seat,0,1,0,0.7102,372.7,313.19,116724.72
9178,empty_seat,0,1,0,0.7425,366.92,311.19,114182.65
9179,empty_seat,0,1,0,0.703,366.34,307.82,112766.11
9180,empty_seat,0,1,0,0.7046,370.95,304.38,112908.38
9181,empty_seat,0,1,0,0.6809,376.34,311.57,117256.99
9182,empty_seat,0,1,0,0.6953,370.26,304.58,112772.2
9183,empty_seat,0,1,0,0.7044,371.04,305.77,113452.81
9184,empty_seat,0,1,0,0.7082,372.53,313.23,116688.38
9185,empty_seat,0,1,0,0.7192,363.74,314.35,114342.9
9186,empty_seat,0,1,0,0.7574,375.76,317.66,119366.42
9187,empty_seat,0,1,0,0.708,361.87,310.66,112419.67
9188,empty_seat,0,1,0,0.7392,372.47,312.97,116570.82
9189,empty_seat,0,1,0,0.7016,383.02,310.29,118846.73
9190,empty_seat,0,1,0,0.7361,355.6,311.05,110611.94
9191,empty_seat,0,1,0,0.7177,380.53,312.91,119069.71
9192,empty_seat,0,1,0,0.7698,365.23,316.33,115532.25
9193,empty_seat,0,1,0,0.7072,370.05,311.78,115373.66
9194,empty_seat,0,1,0,0.7502,364.53,309.19,112710.61
9195,empty_seat,0,1,0,0.7499,378.87,318.27,120586.04
9196,empty_seat,0,1,0,0.7361,379.26,312.95,118690.28
9197,empty_seat,0,1,0,0.7323,353.87,309.92,109671.68
9198,empty_seat,0,1,0,0.6416,371.3,306.73,113889.52
9199,empty_seat,0,1,0,0.7248,363.3,314.94,114417.77
9200,empty_seat,0,1,0,0.7328,365.9,312.06,114181.2
9201,empty_seat,0,1,0,0.7156,368.42,309.8,114134.96
9202,empty_seat,0,1,0,0.728,373.43,315.18,117699.43
9203,empty_seat,0,1,0,0.7422,364.4,312.44,113850.71
9204,empty_seat,0,1,0,0.7469,371.39,315.86,117307.01
9205,empty_seat,0,1,0,0.7187,358.02,307.55,110108.87
9206,empty_seat,0,1,0,0.7506,363.75,310.76,113039.51
9207,empty_seat,0,1,0,0.7237,369.07,312.48,115328.76
9208,empty_seat,0,1,0,0.7533,364.45,314.43,114592.62
9209,empty_seat,0,1,0,0.7428,370.84,314.35,116574.73
9210,empty_seat,0,1,0,0.7044,375.69,313.12,117636.99
9211,empty_seat,0,1,0,0.7409,364.36,312.56,113886.15
9212,empty_seat,0,1,0,0.6962,375.91,314.27,118138.42
9213,empty_seat,0,1,0,0.7165,376.59,314.62,118483.14
9214,empty_seat,0,1,0,0.7334,365.14,312.36,114055.48
9215,empty_seat,0,1,0,0.6977,365.54,310.91,113648.74
9216,empty_seat,0,1,0,0.7527,366.73,311.48,114230.74
9217,empty_seat,0,1,0,0.7034,357.11,309.2,110421.01
9218,empty_seat,0,1,0,0.6937,372.75,305.83,113997.55
9219,empty_seat,0,1,0,0.7463,375.6,316.73,118963.65
9220,empty_seat,0,1,0,0.7573,370.03,313.15,115874.79
